Date,Time,County,EPA_ID,zipcode,NO,NO2,SO2,CO,CO2,O3,PM2.5,PM10
2021-01-23,05:00,Alameda,0007,94550,,12.8,,,,0.002,9.0,
2021-01-23,06:00,Alameda,0007,94550,,11.6,,,,0.004,7.0,
2021-01-23,07:00,Alameda,0007,94550,,12.3,,,,0.004,10.0,
2021-01-23,08:00,Alameda,0007,94550,,11.3,,,,0.008,11.0,
2021-01-23,09:00,Alameda,0007,94550,,4.4,,,,0.023,5.0,
2021-01-23,10:00,Alameda,0007,94550,,2.6,,,,0.031,4.0,
2021-01-23,11:00,Alameda,0007,94550,,2.0,,,,0.034,3.0,
2021-01-24,05:00,Alameda,0007,94550,,13.9,,,,0.0,5.0,
2021-01-24,06:00,Alameda,0007,94550,,15.3,,,,0.0,7.0,
2021-01-24,07:00,Alameda,0007,94550,,16.2,,,,0.0,6.0,
2021-01-24,08:00,Alameda,0007,94550,,9.3,,,,0.012,6.0,
2021-01-24,09:00,Alameda,0007,94550,,2.1,,,,0.025,4.0,
2021-01-24,10:00,Alameda,0007,94550,,2.1,,,,0.028,5.0,
2021-01-24,11:00,Alameda,0007,94550,,1.6,,,,0.032,7.0,
2021-01-25,05:00,Alameda,0007,94550,,4.6,,,,0.03,3.0,
2021-01-25,06:00,Alameda,0007,94550,,6.7,,,,0.028,7.0,
2021-01-25,07:00,Alameda,0007,94550,,9.5,,,,0.024,5.0,
2021-01-25,08:00,Alameda,0007,94550,,13.9,,,,0.02,2.0,
2021-01-25,09:00,Alameda,0007,94550,,4.8,,,,0.03,1.0,
2021-01-25,10:00,Alameda,0007,94550,,2.2,,,,0.033,3.0,
2021-01-25,11:00,Alameda,0007,94550,,1.2,,,,0.035,,
2021-01-26,05:00,Alameda,0007,94550,,24.7,,,,0.0,6.0,
2021-01-26,06:00,Alameda,0007,94550,,26.1,,,,0.0,11.0,
2021-01-26,07:00,Alameda,0007,94550,,27.6,,,,0.0,11.0,
2021-01-26,08:00,Alameda,0007,94550,,23.8,,,,0.003,9.0,
2021-01-26,09:00,Alameda,0007,94550,,13.0,,,,0.015,4.0,
2021-01-26,10:00,Alameda,0007,94550,,3.7,,,,0.03,0.0,
2021-01-26,11:00,Alameda,0007,94550,,0.8,,,,0.038,0.0,
2021-01-27,05:00,Alameda,0007,94550,,0.3,,,,0.038,3.0,
2021-01-27,06:00,Alameda,0007,94550,,0.7,,,,0.038,3.0,
2021-01-27,07:00,Alameda,0007,94550,,1.4,,,,0.036,7.0,
2021-01-27,08:00,Alameda,0007,94550,,11.0,,,,0.027,5.0,
2021-01-27,09:00,Alameda,0007,94550,,22.4,,,,0.013,13.0,
2021-01-27,10:00,Alameda,0007,94550,,7.3,,,,0.029,7.0,
2021-01-27,11:00,Alameda,0007,94550,,7.6,,,,0.023,3.0,
2021-01-28,05:00,Alameda,0007,94550,,2.3,,,,0.038,-1.0,
2021-01-28,06:00,Alameda,0007,94550,,14.6,,,,0.02,-1.0,
2021-01-28,07:00,Alameda,0007,94550,,23.7,,,,0.014,0.0,
2021-01-28,08:00,Alameda,0007,94550,,17.5,,,,0.019,3.0,
2021-01-28,09:00,Alameda,0007,94550,,16.3,,,,0.023,1.0,
2021-01-28,10:00,Alameda,0007,94550,,8.3,,,,0.029,1.0,
2021-01-28,11:00,Alameda,0007,94550,,7.5,,,,0.031,1.0,
2021-01-29,05:00,Alameda,0007,94550,,9.6,,,,0.022,3.0,
2021-01-29,06:00,Alameda,0007,94550,,21.1,,,,0.007,5.0,
2021-01-29,07:00,Alameda,0007,94550,,27.5,,,,0.002,4.0,
2021-01-29,08:00,Alameda,0007,94550,,15.6,,,,0.014,3.0,
2021-01-29,09:00,Alameda,0007,94550,,5.8,,,,0.028,0.0,
2021-01-29,10:00,Alameda,0007,94550,,2.9,,,,0.033,-2.0,
2021-01-29,11:00,Alameda,0007,94550,,2.3,,,,0.036,0.0,
2021-01-30,05:00,Alameda,0007,94550,,15.5,,,,0.0,10.0,
2021-01-30,06:00,Alameda,0007,94550,,15.3,,,,0.0,7.0,
2021-01-30,07:00,Alameda,0007,94550,,14.8,,,,0.0,10.0,
2021-01-30,08:00,Alameda,0007,94550,,14.7,,,,0.001,8.0,
2021-01-30,09:00,Alameda,0007,94550,,13.8,,,,0.005,5.0,
2021-01-30,10:00,Alameda,0007,94550,,10.7,,,,0.016,4.0,
2021-01-30,11:00,Alameda,0007,94550,,6.4,,,,0.026,7.0,
2021-01-31,05:00,Alameda,0007,94550,,14.5,,,,0.001,9.0,
2021-01-31,06:00,Alameda,0007,94550,,13.7,,,,0.001,5.0,
2021-01-31,07:00,Alameda,0007,94550,,13.8,,,,0.0,8.0,
2021-01-31,08:00,Alameda,0007,94550,,11.8,,,,0.004,9.0,
2021-01-31,09:00,Alameda,0007,94550,,8.7,,,,0.011,8.0,
2021-01-31,10:00,Alameda,0007,94550,,7.0,,,,0.021,5.0,
